Aliment;Teneur (mg/100)
Acérola;1677
Baie d'argousier;695
Goyave;228
Persil;130
Fraise;67
Kiwi;59
Citron (jaune);53
Orange;40
Citron (vert);30
Pomme de terre cuite (au four);13
Pomme de terre cuite (à l'eau);8
